id,sequenceNumber,text,awayScore,homeScore,scoringPlay,scoreValue,wallclock,atBatId,summaryType,outs,type.id,type.text,type.type,period.type,period.number,period.displayValue,team.id,pitchCount.balls,pitchCount.strikes,resultCount.balls,resultCount.strikes,participants,batOrder,type.alternativeText,bats.type,bats.abbreviation,bats.displayValue,atBatPitchNumber,pitchVelocity,trajectory,type.abbreviation,pitchCoordinate.x,pitchCoordinate.y,pitchType.id,pitchType.text,pitchType.abbreviation,hitCoordinate.x,hitCoordinate.y,alternativePlay,alternativeType.id,alternativeType.text,alternativeType.abbreviation,alternativeType.alternativeText,alternativeType.type,onFirst.athlete.id,onSecond.athlete.id,onThird.athlete.id
4018165630000000059,1,Top of the 1st inning,0,0,False,0,2026-08-17 22:05:20+00:00,4018165630001,I,0,59,Start Inning,start-inning,Top,1,1st Inning,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630001010001,1,Shane McClanahan pitches to Tyler O'Neill,0,0,False,0,2026-08-17 22:05:20+00:00,4018165630001,A,1,1,Start Batter/Pitcher,start-batterpitcher,Top,1,1st Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}]",1.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630001020022,2,Pitch 1 : Ball In Play,0,0,False,0,2026-08-17 22:05:20+00:00,4018165630001,P,1,22,Fly Out,fly-out,Top,1,1st Inning,30,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}]",1.0,Fly Out,RIGHT,R,Right,1.0,94.0,F,FLY,121.0,162.0,17,Four-seam FB,FF,193.0,94.0,,,,,,,,,
4018165630001990057,3,O'Neill flied out to right.,0,0,False,0,2026-08-17 22:05:20+00:00,4018165630001,N,1,57,Play Result,play-result,Top,1,1st Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}]",1.0,,RIGHT,R,Right,1.0,,F,,121.0,162.0,,,,,,4018165630001020022,22,Fly Out,FLY,Fly Out,fly-out,,,
4018165630001990099,4,,0,0,False,0,2026-08-17 22:05:20+00:00,4018165630001,,1,99,End Batter/Pitcher,end-batterpitcher,Top,1,1st Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '34168'}, 'type': 'batter'}]",1.0,,RIGHT,R,Right,1.0,,F,,121.0,162.0,,,,193.0,94.0,,,,,,,,,
4018165630002010001,1,Shane McClanahan pitches to Pete Alonso,0,0,False,0,2026-08-17 22:05:46+00:00,4018165630002,A,2,1,Start Batter/Pitcher,start-batterpitcher,Top,1,1st Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}]",2.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630002020036,2,Pitch 1 : Strike 1 Looking,0,0,False,0,2026-08-17 22:05:46+00:00,4018165630002,P,2,36,Strike Looking,strike-looking,Top,1,1st Inning,30,0,0,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}]",2.0,Strikeout,RIGHT,R,Right,1.0,95.0,G,SL,97.0,168.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630002030024,3,Pitch 2 : Ball In Play,0,0,False,0,2026-08-17 22:06:13+00:00,4018165630002,P,2,24,Ground Out,ground-out,Top,1,1st Inning,30,0,1,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}]",2.0,Ground Out,RIGHT,R,Right,2.0,84.0,G,GRO,69.0,173.0,6,Changeup,CH,107.0,147.0,,,,,,,,,
4018165630002990057,4,Alonso grounded out to shortstop.,0,0,False,0,2026-08-17 22:06:13+00:00,4018165630002,N,2,57,Play Result,play-result,Top,1,1st Inning,1,0,1,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}]",2.0,,RIGHT,R,Right,2.0,,G,,69.0,173.0,,,,,,4018165630002030024,24,Ground Out,GRO,Ground Out,ground-out,,,
4018165630002990099,5,,0,0,False,0,2026-08-17 22:06:13+00:00,4018165630002,,2,99,End Batter/Pitcher,end-batterpitcher,Top,1,1st Inning,1,0,1,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '37498'}, 'type': 'batter'}]",2.0,,RIGHT,R,Right,2.0,,G,,69.0,173.0,,,,107.0,147.0,,,,,,,,,
